Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
010001,"Southeast Health Medical Center","1108 Ross Clark Circle",Dothan,36301,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3088,278526569,60345158,50914956,4059,23188,23955,74.740932642,388,975,1117,608,1600,1488,2548,452,15,24,"","",779,2309,0.0136010363,0.1139896373,0.2645725389,0.2098445596,0.4015544041,0.0670336788,0.4135362694,0.3665803109,0.0119818653,0.0323834197,0.064119171,0.1149611399,0.3992875648,0.1968911917,0.4468911917,0.3500647668,0.4957901554,0.4381476684,0.75,0.75,0.5,0.1444300518,0.0272020725,0.6091321244,0.2678108808,2.0048648
010005,"Marshall Medical Centers South Campus","2505 U S Highway 431 North",Boaz,35957,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1123,31478721,14642451,11823938,1410,7134,7381,76.191451469,142,305,411,265,634,489,1083,"","",16,"",12,322,801,0.0115761354,0.1282279608,0.2537845058,0.2724844167,0.4069456812,0.0819234194,0.4140694568,0.3650934996,0.0071237756,0.0204808549,0.0525378451,0.089047195,0.3704363313,0.1825467498,0.4336598397,0.4300979519,0.4336598397,0.482635797,0.75,0.75,0.4737310775,0.1665182547,0.0471950134,0.606411398,0.2644701692,1.723296633
010006,"North Alabama Medical Center","1701 Veterans Drive",Florence,35630,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2634,215598957,44902549,37659141,3621,20645,21017,75.564540623,283,841,987,523,1454,1180,2440,146,"",24,"",24,587,2047,0.0125284738,0.2342444951,0.2186788155,0.2133637054,0.4145785877,0.0652999241,0.4586180714,0.4240698557,0.0303720577,0.0178435839,0.0485952923,0.1264236902,0.3929384966,0.1883067578,0.3834472285,0.423690205,0.4753227031,0.4202733485,0.75,0.75,0.5170842825,0.1924829157,0.0584662111,0.6511009871,0.2141230068,1.910259056
010007,"Mizell Memorial Hospital","702 N Main St",Opp,36467,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",252,5880788,3654041,3247319,353,1415,1445,76.071428571,30,67,97,58,139,113,233,18,"","","","",96,156,0.0238095238,0.1428571429,0.25,0.369047619,0.503968254,0.0992063492,0.5079365079,0.4365079365,0.0277777778,0.0158730159,0.119047619,0.1428571429,0.4285714286,0.1547619048,0.4920634921,0.5317460317,0.5079365079,0.5238095238,0.75,0.75,0.4404761905,0.1111111111,0.0753968254,0.6031746032,0.1944444444,1.9350848218
010008,"Crenshaw Community Hospital","101 Hospital Circle",Luverne,36049,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",89,2504675,1038446,892139,123,613,621,77.235955056,"",17,36,"",49,40,73,15,"","","","",35,54,0.0112359551,0.1685393258,0.2471910112,0.3595505618,0.4269662921,0.1235955056,0.4606741573,0.3820224719,0.0112359551,0.0561797753,0.1011235955,0.0786516854,0.3820224719,0.191011236,0.4269662921,0.4606741573,0.4494382022,0.3033707865,0.75,0.75,0.4269662921,0.202247191,0.0337078652,0.5505617978,0.1797752809,1.6179516343
010011,"St Vincent's East","50 Medical Park East Drive",Birmingham,35235,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1943,160898192,36403238,29501414,2609,14769,15627,73.849202265,304,619,650,370,1024,919,1616,281,"",21,"",21,411,1532,0.026762738,0.1600617602,0.2264539372,0.2223365929,0.4328358209,0.1034482759,0.4683479156,0.4271744725,0.0859495625,0.0324240865,0.1091096243,0.1152856408,0.3993823984,0.1621204323,0.446731858,0.3592382913,0.4621718991,0.4307771487,0.75,0.75,0.5285640762,0.117858981,0.0349974267,0.5054040144,0.2120432321,2.098970215
010012,"Dekalb Regional Medical Center","200 Med Center Drive","Fort Payne",35968,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",454,40225683,6542387,5653036,571,1895,1953,75.174008811,51,146,165,92,261,193,436,"","","","","",139,315,0.0110132159,0.0969162996,0.2533039648,0.2885462555,0.3986784141,0.0837004405,0.4074889868,0.3612334802,0.0022026432,0.013215859,0.077092511,0.0947136564,0.3480176211,0.1299559471,0.40969163,0.3986784141,0.4713656388,0.4427312775,0.75,0.75,0.5,0.0991189427,0.0440528634,0.5969162996,0.1233480176,1.637160207
010016,"Shelby Baptist Medical Center","1000 First Street North",Alabaster,35007,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1143,203688120,21558422,16808051,1504,7757,8336,75.705161855,128,348,430,237,595,548,1028,87,"",12,"",14,177,966,0.0183727034,0.1023622047,0.1977252843,0.2677165354,0.3884514436,0.0577427822,0.4129483815,0.3692038495,0.0122484689,0.0139982502,0.0524934383,0.1207349081,0.4243219598,0.1977252843,0.583552056,0.3359580052,0.4759405074,0.5704286964,0.75,0.75,0.6351706037,0.1609798775,0.0472440945,0.5433070866,0.2257217848,2.0214035432
010018,"Uab Callahan Eye Hospital Authority","1720 University Blvd Ste 305",Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,335890,232833,102774,11,27,31,73.636363636,"","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0.0909090909,0.0909090909,0.2727272727,0.1818181818,0.1818181818,0.1818181818,0.0909090909,0.6363636364,0.75,0.2727272727,0.0909090909,0,0.6363636364,0.0909090909,0.7435454545
010019,"Helen Keller Memorial Hospital","1300 South Montgomery Avenue",Sheffield,35660,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1152,43141083,13351469,11131447,1535,7338,7454,76.328125,112,351,426,263,679,473,1043,95,"","","","",299,853,0.0112847222,0.1579861111,0.1909722222,0.2604166667,0.4878472222,0.0590277778,0.4618055556,0.4001736111,0.03125,0.0147569444,0.0625,0.1223958333,0.3888888889,0.1935763889,0.4383680556,0.4027777778,0.4670138889,0.4175347222,0.75,0.75,0.4210069444,0.1701388889,0.0546875,0.6545138889,0.1710069444,1.846072343
010021,"Dale Medical Center","126 Hospital Ave",Ozark,36360,AL,01,4.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",159,4329161,2259393,2011404,197,964,975,71.044025157,40,39,44,36,82,77,134,20,"","","","",57,102,0.0440251572,0.251572327,0.358490566,0.2641509434,0.465408805,0.1257861635,0.5157232704,0.3459119497,0.0251572327,0.0754716981,0.1761006289,0.1006289308,0.358490566,0.1509433962,0.3522012579,0.3836477987,0.4025157233,0.3396226415,0.6981132075,0.75,0.4088050314,0.1572327044,0.0503144654,0.5471698113,0.106918239,1.5243079509
010022,"Floyd Cherokee Medical Center","400 Northwood Dr",Centre,35960,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",111,3261058,1334293,1099205,143,590,622,66.675675676,43,29,24,15,60,51,96,11,"","","","",50,61,0.045045045,0.4504504505,0.5405405405,0.1801801802,0.6486486486,0.2612612613,0.5765765766,0.5405405405,0.0900900901,0.1441441441,0.1981981982,0.1351351351,0.1711711712,0.1621621622,0.3603603604,0.4414414414,0.3693693694,0.3603603604,0.7027027027,0.75,0.3603603604,0.1081081081,0.009009009,0.4864864865,0.1261261261,1.6477200099
010023,"Baptist Medical Center South","2105 East South Boulevard",Montgomery,36116,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1964,154862184,47986528,37311647,2545,16509,18066,73.240325866,345,640,614,365,1098,866,1278,623,"","","",50,480,1484,0.0117107943,0.1181262729,0.2123217923,0.2067209776,0.3385947047,0.0407331976,0.3324847251,0.2948065173,0.0142566191,0.016293279,0.0509164969,0.1176171079,0.3559063136,0.1965376782,0.4801425662,0.3121181263,0.4745417515,0.4226069246,0.75,0.75,0.517311609,0.1527494908,0.034114053,0.5244399185,0.3100814664,2.1565185253
010024,"Jackson Hospital & Clinic Inc","1725 Pine Street",Montgomery,36106,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1898,140320381,30645865,24848664,2555,14155,15062,74.761854584,245,627,607,419,945,953,1227,621,11,"","",33,412,1486,0.0063224447,0.1301369863,0.1743940991,0.2476290832,0.2913593256,0.0458377239,0.3361433087,0.2850368809,0.009483667,0.0252897787,0.0579557429,0.0995785037,0.3651211802,0.2012644889,0.4230769231,0.3451001054,0.4799789252,0.4172813488,0.75,0.75,0.5152792413,0.1322444679,0.0331928346,0.6401475237,0.2233930453,2.1323459097
010029,"East Alabama Medical Center","2000 Pepperell Parkway",Opelika,36801,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1970,91546693,37714331,29276509,2563,14710,15389,74.022335025,305,619,645,401,1060,910,1486,440,"","","",25,433,1537,0.0111675127,0.1081218274,0.2340101523,0.1944162437,0.307106599,0.0395939086,0.3045685279,0.2558375635,0.014213198,0.0203045685,0.0492385787,0.1162436548,0.3401015228,0.1776649746,0.4081218274,0.3060913706,0.4081218274,0.3629441624,0.7411167513,0.75,0.4791878173,0.1360406091,0.0335025381,0.4964467005,0.1609137056,1.855350432
010033,"University Of Alabama Hospital","619 South 19th Street",Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7028,1220328418,277641374,193609276,9350,59001,63789,69.954894707,1592,2682,2003,751,3527,3501,5268,1510,31,55,"","",1422,5606,0.0217700626,0.1356004553,0.2074558907,0.1593625498,0.3890153671,0.0573420603,0.390865111,0.3534433694,0.0237620945,0.0253272624,0.0408366534,0.1173875925,0.3410643142,0.2066021628,0.4116391577,0.282014798,0.4308480364,0.389869095,0.75,0.75,0.4551792829,0.1327546955,0.0284575982,0.5395560615,0.219123506,2.2521034617
010034,"Community Hospital Inc","805 Friendship Road",Tallassee,36078,AL,01,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",83,1016431,1067501,928629,107,422,428,76.240963855,"",19,34,"",39,44,70,13,"","","","",17,66,0.0240963855,0.2048192771,0.1927710843,0.3012048193,0.3253012048,0.0602409639,0.3373493976,0.265060241,0,0.0481927711,0.0602409639,0.0722891566,0.2771084337,0.1686746988,0.4337349398,0.3253012048,0.3012048193,0.3253012048,0.7228915663,0.75,0.4096385542,0.1204819277,0.0361445783,0.5180722892,0.2048192771,1.6441044177
010035,"Cullman Regional Medical Center","1912 Alabama Highway 157",Cullman,35058,AL,01,5,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1740,79541305,25572166,21903240,2495,9134,9346,76.989655172,189,446,634,471,1021,719,1693,"","",14,"",20,408,1332,0.017816092,0.1022988506,0.2132183908,0.2637931034,0.3850574713,0.0528735632,0.4551724138,0.3816091954,0.0385057471,0.0166666667,0.0534482759,0.0798850575,0.3609195402,0.1798850575,0.4022988506,0.3390804598,0.4413793103,0.4931034483,0.75,0.75,0.4764367816,0.1931034483,0.05,0.6086206897,0.2482758621,1.7988850239
010036,"Andalusia Health","849 South Three Notch Street",Andalusia,36420,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",509,34169460,6446634,5561386,690,2505,2528,77.129666012,57,122,193,137,291,218,458,45,"","","","",144,365,0.0157170923,0.1689587426,0.2612966601,0.304518664,0.4322200393,0.0569744597,0.3614931238,0.3202357564,0.068762279,0.0235756385,0.0609037328,0.1237721022,0.42043222,0.2337917485,0.5854616896,0.4695481336,0.4538310413,0.510805501,0.75,0.75,0.489194499,0.1650294695,0.0451866405,0.6640471513,0.2534381139,1.9138145233
010039,"Huntsville Hospital","101 Sivley Rd",Huntsville,35801,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7750,833559319,156255172,128433790,10505,60391,62783,75.891483871,753,2535,2764,1698,4144,3606,6695,797,43,91,"","",1048,6702,0.0157419355,0.1,0.1890322581,0.220516129,0.3486451613,0.0544516129,0.3682580645,0.3206451613,0.0167741935,0.0201290323,0.0415483871,0.1238709677,0.3949677419,0.203483871,0.4296774194,0.28,0.4424516129,0.3923870968,0.75,0.75,0.5534193548,0.1584516129,0.0374193548,0.5717419355,0.2363870968,1.8747004142
010040,"Gadsden Regional Medical Center","1007 Goodyear Avenue",Gadsden,35903,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1302,323367390,20812823,17405910,1778,9001,9430,71.683563748,289,380,422,211,697,605,1161,106,"",14,"",19,374,928,0.0261136713,0.1689708141,0.3095238095,0.2119815668,0.4976958525,0.1528417819,0.4976958525,0.4523809524,0.0284178187,0.0330261137,0.1259600614,0.16359447,0.376344086,0.188172043,0.4416282642,0.4362519201,0.4500768049,0.4093701997,0.75,0.75,0.5038402458,0.1205837174,0.0291858679,0.6298003072,0.1996927803,1.8635644871
010044,"Marion Regional Medical Center","1256 Military Street South",Hamilton,35570,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",97,1941191,1296119,1147319,115,299,302,77.391752577,"",26,35,"",59,38,97,"","","","","",27,70,0,0.1340206186,0.206185567,0.3298969072,0.412371134,0.2577319588,0.4742268041,0.4536082474,0,0.0206185567,0.0309278351,0.175257732,0.3917525773,0.1958762887,0.4948453608,0.4639175258,0.5360824742,0.4536082474,0.75,0.75,0.4845360825,0.2783505155,0.0103092784,0.6907216495,0.1855670103,1.7083435278
